,Date,Weekday,HomeTeam,HomeScore,AwayScore,AwayTeam,Winner,Stadium,City
236,2015-12-05,Saturday,Southampton,1,1,Aston Villa,Draw,St. Mary's Stadium,Southampton
237,2015-12-05,Saturday,Swansea,0,3,Leicester,Leicester,Liberty Stadium,Swansea
238,2015-12-05,Saturday,Watford,2,0,Norwich,Watford,Vicarage Road,Watford
239,2015-12-05,Saturday,West Brom,1,1,Spurs,Draw,The Hawthorns,West Bromwich
240,2015-11-30,Monday,Liverpool,1,0,Swansea,Liverpool,Anfield,Liverpool
241,2015-11-30,Monday,Norwich,1,1,Arsenal,Draw,Carrow Road,Norwich
242,2015-11-29,Sunday,Leicester,1,1,Man Utd,Draw,King Power Stadium,Leicester
243,2015-11-29,Sunday,Spurs,0,0,Chelsea,Draw,White Hart Lane,London
244,2015-11-29,Sunday,West Ham,1,1,West Brom,Draw,Boleyn Ground,London
245,2015-11-28,Saturday,Bournemouth,3,3,Everton,Draw,Goldsands Stadium,Bournemouth
246,2015-11-28,Saturday,Aston Villa,2,3,Watford,Watford,Villa Park,Birmingham
247,2015-11-28,Saturday,Crystal Palace,5,1,Newcastle,Crystal Palace,Selhurst Park,London
248,2015-11-28,Saturday,Man City,3,1,Southampton,Man City,Etihad Stadium,Manchester
249,2015-11-28,Saturday,Sunderland,2,0,Stoke,Sunderland,Stadium of Light,Sunderland
250,2015-11-24,Tuesday,Crystal Palace,0,1,Sunderland,Sunderland,Selhurst Park,London
251,2015-11-23,Monday,Spurs,4,1,West Ham,Spurs,White Hart Lane,London
252,2015-11-22,Sunday,Man City,1,4,Liverpool,Liverpool,Etihad Stadium,Manchester
253,2015-11-21,Saturday,Watford,1,2,Man Utd,Man Utd,Vicarage Road,Watford
254,2015-11-21,Saturday,Chelsea,1,0,Norwich,Chelsea,Stamford Bridge,London
255,2015-11-21,Saturday,Everton,4,0,Aston Villa,Everton,Goodison Park,Liverpool
256,2015-11-21,Saturday,Newcastle,0,3,Leicester,Leicester,St. James' Park,Newcastle
257,2015-11-21,Saturday,Southampton,0,1,Stoke,Stoke,St. Mary's Stadium,Southampton
258,2015-11-21,Saturday,Swansea,2,2,Bournemouth,Draw,Liberty Stadium,Swansea
259,2015-11-21,Saturday,West Brom,2,1,Arsenal,West Brom,The Hawthorns,West Bromwich
260,2015-11-09,Monday,Arsenal,1,1,Spurs,Draw,Emirates Stadium,London
261,2015-11-09,Monday,Liverpool,1,2,Crystal Palace,Crystal Palace,Anfield,Liverpool
262,2015-11-08,Sunday,Stoke,1,0,Chelsea,Stoke,bet365 Stadium,Stoke
263,2015-11-08,Sunday,Aston Villa,0,0,Man City,Draw,Villa Park,Birmingham
264,2015-11-07,Saturday,Bournemouth,0,1,Newcastle,Newcastle,Goldsands Stadium,Bournemouth
265,2015-11-07,Saturday,Leicester,2,1,Watford,Leicester,King Power Stadium,Leicester
266,2015-11-07,Saturday,Man Utd,2,0,West Brom,Man Utd,Old Trafford,Manchester
267,2015-11-07,Saturday,Norwich,1,0,Swansea,Norwich,Carrow Road,Norwich
268,2015-11-07,Saturday,Sunderland,0,1,Southampton,Southampton,Stadium of Light,Sunderland
269,2015-11-07,Saturday,West Ham,1,1,Everton,Draw,Boleyn Ground,London
270,2015-11-03,Tuesday,Spurs,3,1,Aston Villa,Spurs,White Hart Lane,London
271,2015-11-02,Monday,Southampton,2,0,Bournemouth,Southampton,St. Mary's Stadium,Southampton
272,2015-11-01,Sunday,Everton,6,2,Sunderland,Everton,Goodison Park,Liverpool
273,2015-10-31,Saturday,Chelsea,1,3,Liverpool,Liverpool,Stamford Bridge,London
274,2015-10-31,Saturday,Crystal Palace,0,0,Man Utd,Draw,Selhurst Park,London
275,2015-10-31,Saturday,Man City,2,1,Norwich,Man City,Etihad Stadium,Manchester
276,2015-10-31,Saturday,Newcastle,0,0,Stoke,Draw,St. James' Park,Newcastle
277,2015-10-31,Saturday,Swansea,0,3,Arsenal,Arsenal,Liberty Stadium,Swansea
278,2015-10-31,Saturday,Watford,2,0,West Ham,Watford,Vicarage Road,Watford
279,2015-10-31,Saturday,West Brom,2,3,Leicester,Leicester,The Hawthorns,West Bromwich
280,2015-10-26,Monday,Liverpool,1,1,Southampton,Draw,Anfield,Liverpool
281,2015-10-25,Sunday,Arsenal,2,1,Everton,Arsenal,Emirates Stadium,London
282,2015-10-25,Sunday,Sunderland,3,0,Newcastle,Sunderland,Stadium of Light,Sunderland
283,2015-10-25,Sunday,Bournemouth,1,5,Spurs,Spurs,Goldsands Stadium,Bournemouth
284,2015-10-25,Sunday,Man Utd,0,0,Man City,Draw,Old Trafford,Manchester
285,2015-10-24,Saturday,Aston Villa,1,2,Swansea,Swansea,Villa Park,Birmingham
286,2015-10-24,Saturday,Leicester,1,0,Crystal Palace,Leicester,King Power Stadium,Leicester
287,2015-10-24,Saturday,Norwich,0,1,West Brom,West Brom,Carrow Road,Norwich
288,2015-10-24,Saturday,Stoke,0,2,Watford,Watford,bet365 Stadium,Stoke
289,2015-10-24,Saturday,West Ham,2,1,Chelsea,West Ham,Boleyn Ground,London
290,2015-10-20,Tuesday,Swansea,0,1,Stoke,Stoke,Liberty Stadium,Swansea
291,2015-10-18,Sunday,Watford,0,3,Arsenal,Arsenal,Vicarage Road,Watford
292,2015-10-18,Sunday,Newcastle,6,2,Norwich,Newcastle,St. James' Park,Newcastle
293,2015-10-17,Saturday,Spurs,0,0,Liverpool,Draw,White Hart Lane,London
294,2015-10-17,Saturday,Chelsea,2,0,Aston Villa,Chelsea,Stamford Bridge,London
295,2015-10-17,Saturday,Crystal Palace,1,3,West Ham,West Ham,Selhurst Park,London
296,2015-10-17,Saturday,Everton,0,3,Man Utd,Man Utd,Goodison Park,Liverpool
297,2015-10-17,Saturday,Man City,5,1,Bournemouth,Man City,Etihad Stadium,Manchester
298,2015-10-17,Saturday,Southampton,2,2,Leicester,Draw,St. Mary's Stadium,Southampton
299,2015-10-17,Saturday,West Brom,1,0,Sunderland,West Brom,The Hawthorns,West Bromwich
300,2015-10-04,Sunday,Chelsea,1,3,Southampton,Southampton,Stamford Bridge,London
301,2015-10-04,Sunday,Everton,1,1,Liverpool,Draw,Goodison Park,Liverpool
302,2015-10-04,Sunday,Arsenal,3,0,Man Utd,Arsenal,Emirates Stadium,London
303,2015-10-04,Sunday,Swansea,2,2,Spurs,Draw,Liberty Stadium,Swansea
304,2015-10-03,Saturday,Crystal Palace,2,0,West Brom,Crystal Palace,Selhurst Park,London
305,2015-10-03,Saturday,Bournemouth,1,1,Watford,Draw,Goldsands Stadium,Bournemouth
306,2015-10-03,Saturday,Aston Villa,0,1,Stoke,Stoke,Villa Park,Birmingham
307,2015-10-03,Saturday,Man City,6,1,Newcastle,Man City,Etihad Stadium,Manchester
308,2015-10-03,Saturday,Norwich,1,2,Leicester,Leicester,Carrow Road,Norwich
